,Player,Nation,Competition,Club,Age,Pos
7192,Alaín Niño de Guzmán,N/I,División de Fútbol Profesional,Oriente Petrolero,0,MF
7193,Ferddy Roca,bo BOL,División de Fútbol Profesional,Oriente Petrolero,22,FW
7194,José Alfredo Castillo,bo BOL,División de Fútbol Profesional,Oriente Petrolero,39,FW
7195,Rashid Joffre,N/I,División de Fútbol Profesional,Oriente Petrolero,0,FW
7196,Jose Velasco Moreno,bo BOL,División de Fútbol Profesional,Oriente Petrolero,24,FW
7197,Ricardo Sandoval,bo BOL,División de Fútbol Profesional,Oriente Petrolero,21,MF
7198,Diego Cabrera,bo BOL,División de Fútbol Profesional,Oriente Petrolero,18,MF
7199,Angel Altovich,bo BOL,División de Fútbol Profesional,Oriente Petrolero,20,GK
7200,Antony Saavedra,N/I,División de Fútbol Profesional,Oriente Petrolero,0,MF
7201,Pedro Galindo,bo BOL,División de Fútbol Profesional,Real Tomayapo,28,GK
7202,Thiago Ribeiro da Silva,br BRA,División de Fútbol Profesional,Real Tomayapo,38,MF
7203,Kevin Mamani,bo BOL,División de Fútbol Profesional,Real Tomayapo,18,MF
7204,Miguel Graneros,ar ARG,División de Fútbol Profesional,Real Tomayapo,26,FW
7205,Pedro Azogue,bo BOL,División de Fútbol Profesional,Real Tomayapo,28,"FW,MF"
7206,Leandro Corulo,ar ARG,División de Fútbol Profesional,Real Tomayapo,33,DF
7207,Juan Pablo Rioja,bo BOL,División de Fútbol Profesional,Real Tomayapo,34,MF
7208,Sergio Villamil,bo BOL,División de Fútbol Profesional,Real Tomayapo,28,MF
7209,Matías Jesús Noble,ar ARG,División de Fútbol Profesional,Real Tomayapo,26,MF
7210,Hallysson Padilha,br BRA,División de Fútbol Profesional,Real Tomayapo,28,DF
7211,Juan Orellana,bo BOL,División de Fútbol Profesional,Real Tomayapo,25,DF
7212,Jeffinho,br BRA,División de Fútbol Profesional,Real Tomayapo,24,MF
7213,Samuel Galindo,bo BOL,División de Fútbol Profesional,Real Tomayapo,30,MF
7214,Luis Alí,bo BOL,División de Fútbol Profesional,Real Tomayapo,28,FW
7215,Leonardo Justiniano,bo BOL,División de Fútbol Profesional,Real Tomayapo,21,DF
7216,Nelson Orozco,bo BOL,División de Fútbol Profesional,Real Tomayapo,23,FW
7217,Carlos Monges,py PAR,División de Fútbol Profesional,Real Tomayapo,26,FW
7218,Mateo Hernández,ar ARG,División de Fútbol Profesional,Real Tomayapo,24,MF
7219,Rivaldo Maraz,bo BOL,División de Fútbol Profesional,Real Tomayapo,20,MF
7220,Leandro Maygua,bo BOL,División de Fútbol Profesional,Real Tomayapo,30,"DF,MF"
7221,Marco Barrios,bo BOL,División de Fútbol Profesional,Real Tomayapo,27,MF
7222,Nixon Guylherme,br BRA,División de Fútbol Profesional,Real Tomayapo,27,FW
7223,Yerco Vallejos,bo BOL,División de Fútbol Profesional,Real Tomayapo,27,FW
7224,Ronald Sagredo,N/I,División de Fútbol Profesional,Real Tomayapo,0,DF
7225,Pedro Martínez,bo BOL,División de Fútbol Profesional,Real Tomayapo,30,DF
7226,Diego Pariani,ar ARG,División de Fútbol Profesional,Real Tomayapo,29,FW
7227,Oscar Ribera,bo BOL,División de Fútbol Profesional,Real Tomayapo,30,DF
7228,Hernán Rodríguez,bo BOL,División de Fútbol Profesional,Real Tomayapo,26,DF
7229,Pablo Roberto Galindo,bo BOL,División de Fútbol Profesional,Real Tomayapo,25,DF
7230,Javier Ibáñez,bo BOL,División de Fútbol Profesional,Real Tomayapo,26,MF
7231,Sebastián Angulo,co COL,División de Fútbol Profesional,Real Tomayapo,30,GK
7232,Rodrigo Cabrera,bo BOL,División de Fútbol Profesional,Real Tomayapo,25,FW
7233,Juan Alemán,bo BOL,División de Fútbol Profesional,Real Tomayapo,32,DF
7234,Carlos Alvarado,bo BOL,División de Fútbol Profesional,Real Tomayapo,18,FW
7235,Alex Arancibia,bo BOL,División de Fútbol Profesional,Real Tomayapo,33,GK
7236,Massiel Cardan,N/I,División de Fútbol Profesional,Real Tomayapo,0,MF
7237,Santiago Cuiza,bo BOL,División de Fútbol Profesional,Real Tomayapo,20,DF
7238,Emanuel Ramos,bo BOL,División de Fútbol Profesional,Real Tomayapo,22,MF
7239,Emanuel Salinas,bo BOL,División de Fútbol Profesional,Real Tomayapo,23,MF
7240,Enrique David Díaz,uy URU,División de Fútbol Profesional,Independiente Petrolero,40,DF
7241,Thomaz,br BRA,División de Fútbol Profesional,Independiente Petrolero,36,MF
7242,Germán Arauz,bo BOL,División de Fútbol Profesional,Independiente Petrolero,27,GK
7243,Daniel Castellón,bo BOL,División de Fútbol Profesional,Independiente Petrolero,26,DF
7244,Edwin Rivera Sifuentes,bo BOL,División de Fútbol Profesional,Independiente Petrolero,33,MF
7245,Juan Godoy,py PAR,División de Fútbol Profesional,Independiente Petrolero,29,MF
7246,Alejandro Bejarano,bo BOL,División de Fútbol Profesional,Independiente Petrolero,38,MF
7247,Robin Ramírez,py PAR,División de Fútbol Profesional,Independiente Petrolero,33,FW
7248,Omar Morales,bo BOL,División de Fútbol Profesional,Independiente Petrolero,35,MF
7249,Sebastián Ibars,ar ARG,División de Fútbol Profesional,Independiente Petrolero,36,DF
7250,Miguel Quiroga,bo BOL,División de Fútbol Profesional,Independiente Petrolero,31,MF
7251,Rodrigo Gómez,ar ARG,División de Fútbol Profesional,Independiente Petrolero,30,MF
7252,Víctor Hugo Melgar,bo BOL,División de Fútbol Profesional,Independiente Petrolero,34,MF
7253,Emerson Velasquez,bo BOL,División de Fútbol Profesional,Independiente Petrolero,23,MF
7254,Tobías Andre Moriceau,ar ARG,División de Fútbol Profesional,Independiente Petrolero,25,MF
7255,Pablo Grass,N/I,División de Fútbol Profesional,Independiente Petrolero,0,DF
7256,Humberto Osorio,co COL,División de Fútbol Profesional,Independiente Petrolero,34,FW
7257,Iván Brun,ar ARG,División de Fútbol Profesional,Independiente Petrolero,39,GK
7258,Oscar Valda,bo BOL,División de Fútbol Profesional,Independiente Petrolero,19,FW
7259,Mauricio Arroyo,bo BOL,División de Fútbol Profesional,Independiente Petrolero,18,MF
7260,Nicolas Arteaga,ar ARG,División de Fútbol Profesional,Independiente Petrolero,26,MF
7261,Diego Saavedra,bo BOL,División de Fútbol Profesional,Independiente Petrolero,19,MF
7262,Lucas Gaúcho,br BRA,División de Fútbol Profesional,Independiente Petrolero,31,FW
7263,Dustin Maldonado,bo BOL,División de Fútbol Profesional,Independiente Petrolero,32,DF
7264,Cristhian Choque,bo BOL,División de Fútbol Profesional,Independiente Petrolero,21,MF
7265,Yeffry Paz,bo BOL,División de Fútbol Profesional,Independiente Petrolero,19,MF
7266,Brandon Peña,co COL,División de Fútbol Profesional,Independiente Petrolero,24,MF
7267,Ricardo Pedriel,bo BOL,División de Fútbol Profesional,Independiente Petrolero,36,FW
7268,Jorge Toco,bo BOL,División de Fútbol Profesional,Independiente Petrolero,31,DF
7269,Lorgio Castedo,bo BOL,División de Fútbol Profesional,Independiente Petrolero,34,GK
7270,Yesit Martínez,bo BOL,División de Fútbol Profesional,Independiente Petrolero,21,MF
7271,Camilo Mamani,N/I,División de Fútbol Profesional,Independiente Petrolero,0,FW
7272,Elias Peralta,bo BOL,División de Fútbol Profesional,Independiente Petrolero,24,DF
7273,Luis Flores,bo BOL,División de Fútbol Profesional,Independiente Petrolero,18,MF
7274,Roy Mollinedo,N/I,División de Fútbol Profesional,Independiente Petrolero,0,N/I
7275,Jose Peralta,bo BOL,División de Fútbol Profesional,Independiente Petrolero,20,MF
7276,Deni Gaúcho,br BRA,División de Fútbol Profesional,Independiente Petrolero,31,MF
7277,Edson Pérez,bo BOL,División de Fútbol Profesional,Independiente Petrolero,30,DF
7278,Marcos de Lima,bo BOL,División de Fútbol Profesional,Independiente Petrolero,25,MF
7279,William Velasco,bo BOL,División de Fútbol Profesional,Independiente Petrolero,22,MF
7280,Asaf Patzi,bo BOL,División de Fútbol Profesional,Independiente Petrolero,18,MF
7281,Cristian Lopez,N/I,División de Fútbol Profesional,Independiente Petrolero,0,N/I
7282,Joaquín Barrientos,bo BOL,División de Fútbol Profesional,Independiente Petrolero,20,DF
7283,Anderson Brito,bo BOL,División de Fútbol Profesional,Independiente Petrolero,17,FW
7284,Diego Mollo,bo BOL,División de Fútbol Profesional,Independiente Petrolero,19,MF
7285,Leonardo Sánchez,bo BOL,División de Fútbol Profesional,Independiente Petrolero,24,MF
7286,Erick Vaca,bo BOL,División de Fútbol Profesional,Independiente Petrolero,19,GK
7287,Santiago Echeverría,ar ARG,División de Fútbol Profesional,Guabira,32,DF
7288,Fran Supayabe,bo BOL,División de Fútbol Profesional,Guabira,27,DF
7289,Elder Arauz,bo BOL,División de Fútbol Profesional,Guabira,32,GK
7290,Gustavo Peredo,bo BOL,División de Fútbol Profesional,Guabira,22,FW
7291,Milciades Portillo,py PAR,División de Fútbol Profesional,Guabira,30,DF
7292,Alejandro Meleán,bo BOL,División de Fútbol Profesional,Guabira,35,"DF,MF"
7293,Jorge Eduardo Lovera,bo BOL,División de Fútbol Profesional,Guabira,25,MF
7294,Santos Navarro,bo BOL,División de Fútbol Profesional,Guabira,32,MF
7295,Alejandro Quintana,ar ARG,División de Fútbol Profesional,Guabira,30,FW
7296,Rodrigo Ruiz Díaz,py PAR,División de Fútbol Profesional,Guabira,24,FW
7297,Jhon Jairo Cuéllar,bo BOL,División de Fútbol Profesional,Guabira,23,GK
7298,Sebastián Gallegos,uy URU,División de Fútbol Profesional,Guabira,31,"FW,MF"
7299,Martín Alaníz,uy URU,División de Fútbol Profesional,Guabira,29,MF
7300,Maximiliano Gómez,ar ARG,División de Fútbol Profesional,Guabira,35,MF
7301,Hugo Denar Salvatierra,bo BOL,División de Fútbol Profesional,Guabira,20,MF
7302,Brahian Egüez,bo BOL,División de Fútbol Profesional,Guabira,30,MF
7303,Bruno Miranda,bo BOL,División de Fútbol Profesional,Guabira,24,FW
7304,Jorge González,py PAR,División de Fútbol Profesional,Guabira,25,DF
7305,Roland Gil,N/I,División de Fútbol Profesional,Guabira,0,FW
7306,Mauricio Cabral,bo BOL,División de Fútbol Profesional,Guabira,22,FW
7307,Carlos Abastoflor,bo BOL,División de Fútbol Profesional,Guabira,20,MF
7308,Mauricio Chajtur,bo BOL,División de Fútbol Profesional,Guabira,26,MF
7309,Carlos Chore,bo BOL,División de Fútbol Profesional,Guabira,22,DF
7310,Hernán Rodríguez,bo BOL,División de Fútbol Profesional,Guabira,26,DF
7311,Ivan Huayhuata,bo BOL,División de Fútbol Profesional,Guabira,33,DF
7312,Jefferson Ibáñez,bo BOL,División de Fútbol Profesional,Guabira,27,DF
7313,Sergio Llamas,es ESP,División de Fútbol Profesional,Guabira,29,MF
7314,Juan Carlos Montenegro,bo BOL,División de Fútbol Profesional,Guabira,25,FW
7315,Jhon Jairo Velasco,bo BOL,División de Fútbol Profesional,Guabira,18,DF
7316,Cristián Fernández Fuenzalida,bo BOL,División de Fútbol Profesional,Guabira,19,MF
7317,Freddy Abastoflor,bo BOL,División de Fútbol Profesional,Guabira,30,FW
7318,Layonel Figueroa,bo BOL,División de Fútbol Profesional,Guabira,23,MF
7319,Angel Vaca,bo BOL,División de Fútbol Profesional,Guabira,21,MF
7320,Luis Gómez,N/I,División de Fútbol Profesional,Guabira,0,DF
7321,Paulo Padu,br BRA,División de Fútbol Profesional,Guabira,25,FW
7322,Juan Vogliotti,ar ARG,División de Fútbol Profesional,Guabira,37,FW
7323,Harry Céspedes,bo BOL,División de Fútbol Profesional,Guabira,24,DF
7324,Manuel Ferrel,bo BOL,División de Fútbol Profesional,Guabira,21,GK
7325,Luis Vargas,bo BOL,División de Fútbol Profesional,Atletico Palmaflor,27,MF
7326,Oscar Baldomar,bo BOL,División de Fútbol Profesional,Atletico Palmaflor,26,DF
7327,Mauricio Adorno,bo BOL,División de Fútbol Profesional,Atletico Palmaflor,21,GK
7328,Ramón Coronel,py PAR,División de Fútbol Profesional,Atletico Palmaflor,31,DF
7329,Sergio Adrián,bo BOL,División de Fútbol Profesional,Atletico Palmaflor,26,DF
7330,Miyhel Ortiz,bo BOL,División de Fútbol Profesional,Atletico Palmaflor,21,MF
7331,Ronny Montero,bo BOL,División de Fútbol Profesional,Atletico Palmaflor,31,DF
7332,Gilbert Álvarez,bo BOL,División de Fútbol Profesional,Atletico Palmaflor,30,FW
7333,Jonathan Cañete,ar ARG,División de Fútbol Profesional,Atletico Palmaflor,26,FW
7334,Matías Pisano,ar ARG,División de Fútbol Profesional,Atletico Palmaflor,31,"FW,MF"
7335,Nils Huasna,bo BOL,División de Fútbol Profesional,Atletico Palmaflor,18,FW
7336,Richard Spenhay,bo BOL,División de Fútbol Profesional,Atletico Palmaflor,25,MF
7337,Fernando Luna,ar ARG,División de Fútbol Profesional,Atletico Palmaflor,33,MF
7338,Ricardo Orihuela,bo BOL,División de Fútbol Profesional,Atletico Palmaflor,23,MF
7339,Arturo Mina,ec ECU,División de Fútbol Profesional,Atletico Palmaflor,32,DF
7340,Paolo Alcocer,bo BOL,División de Fútbol Profesional,Atletico Palmaflor,22,MF
7341,Javier Guerra,bo BOL,División de Fútbol Profesional,Atletico Palmaflor,18,DF
7342,Luis Hurtado,bo BOL,División de Fútbol Profesional,Atletico Palmaflor,29,FW
7343,Sebastián Reyes,bo BOL,División de Fútbol Profesional,Atletico Palmaflor,25,DF
7344,Rai Pablo Lima,bo BOL,División de Fútbol Profesional,Atletico Palmaflor,22,MF
7345,Luis Carlos Rodríguez,bo BOL,División de Fútbol Profesional,Atletico Palmaflor,20,DF
7346,Sebastián Melgar,bo BOL,División de Fútbol Profesional,Atletico Palmaflor,21,FW
7347,Mauricio Serrano,bo BOL,División de Fútbol Profesional,Atletico Palmaflor,28,MF
7348,Javier Rojas,bo BOL,División de Fútbol Profesional,Atletico Palmaflor,27,GK
7349,Jorge Rojas,bo BOL,División de Fútbol Profesional,Atletico Palmaflor,29,DF
7350,Jaffet Saavedra,bo BOL,División de Fútbol Profesional,Atletico Palmaflor,19,MF
7351,Kevin Fernández,bo BOL,División de Fútbol Profesional,Atletico Palmaflor,25,FW
7352,Rubén Escobar,py PAR,División de Fútbol Profesional,Atletico Palmaflor,31,GK
7353,Milton Garzón,bo BOL,División de Fútbol Profesional,Atletico Palmaflor,21,MF
7354,Alexandro Zenteno,bo BOL,División de Fútbol Profesional,Atletico Palmaflor,20,MF
7355,Tristan Orosco,N/I,División de Fútbol Profesional,Atletico Palmaflor,0,MF
7356,Ronaldo Hunacota,N/I,División de Fútbol Profesional,Atletico Palmaflor,0,GK
7357,Bruno Alvarez,N/I,División de Fútbol Profesional,Atletico Palmaflor,0,MF
7358,David Vasquez,bo BOL,División de Fútbol Profesional,Atletico Palmaflor,24,MF
7359,Alvaro Elvis Ayala Nava,N/I,División de Fútbol Profesional,Atletico Palmaflor,0,MF
7360,Edson García,bo BOL,División de Fútbol Profesional,Atletico Palmaflor,16,MF
7361,Ruben Mamani,bo BOL,División de Fútbol Profesional,Atletico Palmaflor,19,GK
7362,Brayan Rodriguez,bo BOL,División de Fútbol Profesional,Atletico Palmaflor,17,MF
7363,Jhon Torrico,N/I,División de Fútbol Profesional,Atletico Palmaflor,0,N/I
7364,Robson Leandro Santos,br BRA,División de Fútbol Profesional,Jorge Wilstermann,30,MF
7365,Cristhian Machado,bo BOL,División de Fútbol Profesional,Jorge Wilstermann,32,MF
7366,Arnaldo Giménez,py PAR,División de Fútbol Profesional,Jorge Wilstermann,35,GK
7367,Jhon Velásquez,bo BOL,División de Fútbol Profesional,Jorge Wilstermann,19,MF
7368,Jonata Felipe,br BRA,División de Fútbol Profesional,Jorge Wilstermann,23,MF
7369,Julián Velázquez,ar ARG,División de Fútbol Profesional,Jorge Wilstermann,32,DF
7370,Alejandro Chumacero,bo BOL,División de Fútbol Profesional,Jorge Wilstermann,31,MF
7371,Rudy Cardozo,bo BOL,División de Fútbol Profesional,Jorge Wilstermann,32,MF
7372,Francisco Rodriguez Zegada,bo BOL,División de Fútbol Profesional,Jorge Wilstermann,28,DF
7373,Gabriel Esparza,ar ARG,División de Fútbol Profesional,Jorge Wilstermann,30,"FW,MF"
7374,Martín Chiatti,ar ARG,División de Fútbol Profesional,Jorge Wilstermann,30,DF
7375,Marcelo Suarez,bo BOL,División de Fútbol Profesional,Jorge Wilstermann,21,DF
7376,Ariel Nahuelpán,ar ARG,División de Fútbol Profesional,Jorge Wilstermann,35,FW
7377,Vladimir Castellón,bo BOL,División de Fútbol Profesional,Jorge Wilstermann,33,"FW,MF"
7378,Juan Pablo Aponte,bo BOL,División de Fútbol Profesional,Jorge Wilstermann,30,DF
7379,Rodrigo Amaral,uy URU,División de Fútbol Profesional,Jorge Wilstermann,25,FW
7380,Miguel Bianconi,br BRA,División de Fútbol Profesional,Jorge Wilstermann,30,FW
7381,Mario Cuéllar,bo BOL,División de Fútbol Profesional,Jorge Wilstermann,33,DF
7382,Josué Mamani,bo BOL,División de Fútbol Profesional,Jorge Wilstermann,22,MF
7383,Franco Martínez,uy URU,División de Fútbol Profesional,Jorge Wilstermann,24,MF
7384,Bruno Poveda,bo BOL,División de Fútbol Profesional,Jorge Wilstermann,19,GK
7385,Ariel Juárez,bo BOL,División de Fútbol Profesional,Jorge Wilstermann,34,DF
7386,Mathías Techera,uy URU,División de Fútbol Profesional,Jorge Wilstermann,26,DF
7387,Carlitos Rodriguez,bo BOL,División de Fútbol Profesional,Jorge Wilstermann,18,DF
7388,Adriel Fernández,bo BOL,División de Fútbol Profesional,Jorge Wilstermann,26,MF
7389,Lucas Salinas,bo BOL,División de Fútbol Profesional,Jorge Wilstermann,21,GK
7390,Clemison Junior Da Silva,N/I,División de Fútbol Profesional,Jorge Wilstermann,0,MF
7391,Bismark Ubah,ng NGA,División de Fútbol Profesional,Jorge Wilstermann,29,FW
7392,Joel Bejarano,bo BOL,División de Fútbol Profesional,Jorge Wilstermann,26,MF
7393,Rodrigo Vargas Castillo,bo BOL,División de Fútbol Profesional,Jorge Wilstermann,28,FW
7394,Carlos Perez,bo BOL,División de Fútbol Profesional,Jorge Wilstermann,23,MF
7395,Herrera Torrico,bo BOL,División de Fútbol Profesional,Jorge Wilstermann,21,FW
7396,Adrian Pacheco,bo BOL,División de Fútbol Profesional,Jorge Wilstermann,17,MF
7397,Sergio Cardenas,bo BOL,División de Fútbol Profesional,Jorge Wilstermann,18,MF
7398,Brian Hinojosa,bo BOL,División de Fútbol Profesional,Jorge Wilstermann,29,DF
7399,Erlan Condori,bo BOL,División de Fútbol Profesional,Jorge Wilstermann,25,MF
7400,Fabricio Mariaca,bo BOL,División de Fútbol Profesional,Jorge Wilstermann,20,MF
7401,Edgar Olivares Villarroel,bo BOL,División de Fútbol Profesional,Jorge Wilstermann,20,DF
7402,Luis Parra,N/I,División de Fútbol Profesional,Jorge Wilstermann,0,MF
7403,Santiago Zotes,N/I,División de Fútbol Profesional,Jorge Wilstermann,0,GK
7404,Braulio Uraezaña,bo BOL,División de Fútbol Profesional,Blooming,27,GK
7405,César Romero,bo BOL,División de Fútbol Profesional,Blooming,21,DF
7406,Denilson Durán,bo BOL,División de Fútbol Profesional,Blooming,19,DF
7407,Omar Siles,bo BOL,División de Fútbol Profesional,Blooming,30,MF
7408,Richet Gómez,bo BOL,División de Fútbol Profesional,Blooming,22,MF
7409,Gastón Rodríguez Maeso,uy URU,División de Fútbol Profesional,Blooming,30,"FW,MF"
7410,Fernando Arismendi,uy URU,División de Fútbol Profesional,Blooming,31,MF
7411,Rafinha,br BRA,División de Fútbol Profesional,Blooming,31,MF
7412,Juan Carlos Arce,bo BOL,División de Fútbol Profesional,Blooming,37,"FW,MF"
7413,Miguel Ángel Becerra,bo BOL,División de Fútbol Profesional,Blooming,29,DF
7414,José Luis Sinisterra,co COL,División de Fútbol Profesional,Blooming,24,FW
7415,Arquímedes Figuera,ve VEN,División de Fútbol Profesional,Blooming,33,MF
7416,Jonathan Lacerda,uy URU,División de Fútbol Profesional,Blooming,35,DF
7417,Cesar Menacho,bo BOL,División de Fútbol Profesional,Blooming,23,FW
7418,Abraham Cabrera,bo BOL,División de Fútbol Profesional,Blooming,31,DF
7419,Jorge Eduardo Lovera,bo BOL,División de Fútbol Profesional,Blooming,25,MF
7420,Richard Spenhay,bo BOL,División de Fútbol Profesional,Blooming,25,MF
7421,Juan Gabriel Valverde,bo BOL,División de Fútbol Profesional,Blooming,32,DF
7422,Guimer Justiniano,bo BOL,División de Fútbol Profesional,Blooming,33,DF
7423,Ronald Cuéllar,bo BOL,División de Fútbol Profesional,Blooming,25,DF
7424,Jaime Villamil,bo BOL,División de Fútbol Profesional,Blooming,30,DF
7425,Saúl Severiche,bo BOL,División de Fútbol Profesional,Blooming,20,DF
7426,Pablo César Luján,bo BOL,División de Fútbol Profesional,Blooming,19,MF
7427,Guilmar Bazan,bo BOL,División de Fútbol Profesional,Blooming,17,MF
7428,Léo Fenga,br BRA,División de Fútbol Profesional,Blooming,21,FW
7429,Johan Gutiérrez,bo BOL,División de Fútbol Profesional,Blooming,26,GK
7430,Diego Padilla,bo BOL,División de Fútbol Profesional,Blooming,18,MF
7431,Oscar Ribera,bo BOL,División de Fútbol Profesional,Blooming,30,DF
7432,Daniel Camacho,bo BOL,División de Fútbol Profesional,Blooming,24,MF
7433,Samir Perez,N/I,División de Fútbol Profesional,Blooming,0,MF
7434,Iago Mendonça,br BRA,División de Fútbol Profesional,Blooming,23,DF
7435,Samuel Garzón,bo BOL,División de Fútbol Profesional,Blooming,23,FW
7436,Ramiro Eguez,bo BOL,División de Fútbol Profesional,Blooming,18,MF
7437,Juan Daniel Ferrufino,bo BOL,División de Fútbol Profesional,Blooming,21,FW
7438,Fernando Rodríguez,bo BOL,División de Fútbol Profesional,Blooming,27,MF
7439,Denis Pinto,bo BOL,División de Fútbol Profesional,Blooming,27,GK
7440,José Balcazar,bo BOL,División de Fútbol Profesional,Blooming,18,MF
7441,Marcelo De Lima Castro,bo BOL,División de Fútbol Profesional,Blooming,17,DF
7442,Sergio Ferreira,bo BOL,División de Fútbol Profesional,Blooming,19,FW
7443,Carlos Jiménez,bo BOL,División de Fútbol Profesional,Blooming,21,GK
7444,Walter Antelo,bo BOL,División de Fútbol Profesional,Real Santa Cruz,26,MF
7445,Alejandro William Torrez,bo BOL,División de Fútbol Profesional,Real Santa Cruz,24,GK
7446,Julio César Pérez Peredo,bo BOL,División de Fútbol Profesional,Real Santa Cruz,31,DF
7447,Jorge Ortíz,bo BOL,División de Fútbol Profesional,Real Santa Cruz,38,MF
7448,Gerson Malgor,bo BOL,División de Fútbol Profesional,Real Santa Cruz,19,MF
7449,Brian López,do DOM,División de Fútbol Profesional,Real Santa Cruz,23,DF
7450,Samuel Pozo,bo BOL,División de Fútbol Profesional,Real Santa Cruz,25,MF
7451,Efmamjjasond González,co COL,División de Fútbol Profesional,Real Santa Cruz,23,FW
7452,Edward Vaca,bo BOL,División de Fútbol Profesional,Real Santa Cruz,23,MF
7453,Fabricio Palacios,co COL,División de Fútbol Profesional,Real Santa Cruz,25,MF
7454,Edemir Rodríguez,bo BOL,División de Fútbol Profesional,Real Santa Cruz,38,DF
7455,César García,do DOM,División de Fútbol Profesional,Real Santa Cruz,29,DF
7456,Limberg Gutiérrez Jr.,bo BOL,División de Fútbol Profesional,Real Santa Cruz,24,MF
7457,Luis Ruano,ec ECU,División de Fútbol Profesional,Real Santa Cruz,31,DF
7458,Mario Ovando,bo BOL,División de Fútbol Profesional,Real Santa Cruz,37,MF
7459,Denilson Choque,bo BOL,División de Fútbol Profesional,Real Santa Cruz,24,DF
7460,Imanol Cárdenas,bo BOL,División de Fútbol Profesional,Real Santa Cruz,22,MF
7461,Guillermo Denis,co COL,División de Fútbol Profesional,Real Santa Cruz,23,FW
7462,Jayro Jean,ht HAI,División de Fútbol Profesional,Real Santa Cruz,24,MF
7463,Shelove Achelus,ht HAI,División de Fútbol Profesional,Real Santa Cruz,23,MF
7464,Leonardo Claros,bo BOL,División de Fútbol Profesional,Real Santa Cruz,24,GK
7465,Jose Lara,bo BOL,División de Fútbol Profesional,Real Santa Cruz,23,MF
7466,Luis Condarco,N/I,División de Fútbol Profesional,Real Santa Cruz,0,MF
7467,Anderson Rey,bo BOL,División de Fútbol Profesional,Real Santa Cruz,28,FW
7468,Matheo Zoch,bo BOL,División de Fútbol Profesional,Real Santa Cruz,26,MF
7469,Andree Navia Rios,bo BOL,División de Fútbol Profesional,Real Santa Cruz,22,MF
7470,Juan Orellana,bo BOL,División de Fútbol Profesional,Real Santa Cruz,25,DF
7471,José Andrés Veizaga,bo BOL,División de Fútbol Profesional,Real Santa Cruz,26,MF
7472,Nelson Orozco,bo BOL,División de Fútbol Profesional,Real Santa Cruz,23,FW
7473,Reyvin de la Rosa,do DOM,División de Fútbol Profesional,Real Santa Cruz,22,MF
7474,Alán Mercado,bo BOL,División de Fútbol Profesional,Real Santa Cruz,26,FW
7475,Richard Peñaranda,bo BOL,División de Fútbol Profesional,Real Santa Cruz,24,MF
7476,Diego Panique,N/I,División de Fútbol Profesional,Real Santa Cruz,0,MF
7477,Luis Ardaya,bo BOL,División de Fútbol Profesional,Real Santa Cruz,20,MF
7478,Omar Ledezma,bo BOL,División de Fútbol Profesional,Real Santa Cruz,19,GK
7479,Juan Rivero,bo BOL,División de Fútbol Profesional,Real Santa Cruz,33,MF
7480,José Bravo,bo BOL,División de Fútbol Profesional,Real Santa Cruz,25,FW
7481,Hermes Ruiz,bo BOL,División de Fútbol Profesional,Real Santa Cruz,23,MF
7482,Jorge Carreón,bo BOL,División de Fútbol Profesional,Real Santa Cruz,25,MF
7483,Angel Gutierrez,bo BOL,División de Fútbol Profesional,Real Santa Cruz,21,FW
7484,José Lanza,bo BOL,División de Fútbol Profesional,Real Santa Cruz,21,MF
7485,Sebastian Coplot,N/I,División de Fútbol Profesional,Real Santa Cruz,0,FW
7486,Raúl Ardaya,bo BOL,División de Fútbol Profesional,Real Santa Cruz,24,MF
7487,Mateo Soliz,bo BOL,División de Fútbol Profesional,Real Santa Cruz,20,MF
7488,Harold Antelo Torrico,N/I,División de Fútbol Profesional,Real Santa Cruz,0,N/I
7489,Ruddy Caio,bo BOL,División de Fútbol Profesional,Real Santa Cruz,19,MF
7490,Imanol Campos,bo BOL,División de Fútbol Profesional,Real Santa Cruz,17,MF
7491,Jharet Chambi,N/I,División de Fútbol Profesional,Real Santa Cruz,0,N/I
7492,Favio Galvarro,bo BOL,División de Fútbol Profesional,Real Santa Cruz,28,MF
7493,Gustavo Parada,bo BOL,División de Fútbol Profesional,Real Santa Cruz,23,DF
7494,Ricardo Pena,N/I,División de Fútbol Profesional,Real Santa Cruz,0,N/I
7495,Elmer Saurez,bo BOL,División de Fútbol Profesional,Real Santa Cruz,21,MF
7496,José Torcuato,N/I,División de Fútbol Profesional,Real Santa Cruz,0,GK
7497,Efren Vacaflores,N/I,División de Fútbol Profesional,Real Santa Cruz,0,MF
7498,Julio Vila,ar ARG,División de Fútbol Profesional,FC Universitario,27,DF
7499,Joaquín Lencinas,ar ARG,División de Fútbol Profesional,FC Universitario,34,DF
7500,Joel Calicho,bo BOL,División de Fútbol Profesional,FC Universitario,27,MF
7501,Raúl Castro,bo BOL,División de Fútbol Profesional,FC Universitario,33,MF
7502,Victor Abrego,bo BOL,División de Fútbol Profesional,FC Universitario,25,FW
7503,Diago Giménez,ar ARG,División de Fútbol Profesional,FC Universitario,25,MF
7504,Rodrigo Llano,co COL,División de Fútbol Profesional,FC Universitario,30,FW
7505,Raúl Olivares,cl CHI,División de Fútbol Profesional,FC Universitario,34,GK
7506,Jose Alipaz,bo BOL,División de Fútbol Profesional,FC Universitario,20,FW
